Direction,Calm     , 2.0  4.9, 5.0  6.9, 7.0  9.9,10.0 14.9,15.0 19.9,20.0+    
355-004  ,4.12     ,    0.268,    0.467,    0.548,    1.050,    0.296,    0.106
005-014  ,         ,    0.262,    0.574,    0.702,    1.190,    0.288,    0.091
015-024  ,         ,    0.354,    0.827,    0.993,    1.700,    0.345,    0.094
025-034  ,         ,    0.345,    0.678,    0.789,    1.383,    0.309,    0.074
035-044  ,         ,    0.305,    0.524,    0.575,    0.992,    0.231,    0.057
045-054  ,         ,    0.272,    0.386,    0.373,    0.612,    0.150,    0.043
055-064  ,         ,    0.249,    0.332,    0.289,    0.389,    0.088,    0.027
065-074  ,         ,    0.264,    0.330,    0.254,    0.273,    0.057,    0.014
075-084  ,         ,    0.210,    0.266,    0.206,    0.197,    0.026,    0.009
085-094  ,         ,    0.258,    0.336,    0.237,    0.189,    0.026,    0.005
095-104  ,         ,    0.222,    0.292,    0.211,    0.183,    0.022,    0.009
105-114  ,         ,    0.253,    0.363,    0.301,    0.234,    0.032,    0.007
115-124  ,         ,    0.303,    0.458,    0.373,    0.322,    0.036,    0.010
125-134  ,         ,    0.311,    0.456,    0.448,    0.431,    0.030,    0.009
135-144  ,         ,    0.348,    0.524,    0.552,    0.567,    0.039,    0.010
145-154  ,         ,    0.342,    0.488,    0.508,    0.504,    0.034,    0.009
155-164  ,         ,    0.404,    0.574,    0.550,    0.499,    0.040,    0.008
165-174  ,         ,    0.474,    0.632,    0.503,    0.458,    0.036,    0.011
175-184  ,         ,    0.536,    0.783,    0.621,    0.529,    0.067,    0.014
185-194  ,         ,    0.424,    0.601,    0.518,    0.545,    0.069,    0.015
195-204  ,         ,    0.553,    0.714,    0.522,    0.668,    0.131,    0.032
205-214  ,         ,    0.586,    0.830,    0.584,    0.719,    0.175,    0.040
215-224  ,         ,    0.568,    0.958,    0.857,    1.132,    0.260,    0.054
225-234  ,         ,    0.484,    0.886,    1.057,    1.647,    0.342,    0.080
235-244  ,         ,    0.370,    0.711,    0.981,    1.639,    0.353,    0.099
245-254  ,         ,    0.368,    0.657,    0.895,    1.556,    0.416,    0.151
255-264  ,         ,    0.346,    0.618,    0.715,    1.281,    0.396,    0.195
265-274  ,         ,    0.361,    0.689,    0.717,    1.207,    0.457,    0.236
275-284  ,         ,    0.250,    0.483,    0.559,    1.058,    0.457,    0.253
285-294  ,         ,    0.222,    0.425,    0.546,    1.133,    0.584,    0.332
295-304  ,         ,    0.221,    0.391,    0.500,    1.242,    0.713,    0.431
305-314  ,         ,    0.194,    0.400,    0.571,    1.474,    0.824,    0.523
315-324  ,         ,    0.151,    0.343,    0.543,    1.540,    0.811,    0.463
325-334  ,         ,    0.131,    0.282,    0.449,    1.296,    0.620,    0.302
335-344  ,         ,    0.123,    0.277,    0.437,    1.178,    0.478,    0.200
345-354  ,         ,    0.133,    0.286,    0.402,    0.962,    0.345,    0.114
