Direction,Calm     , 2.0  4.9, 5.0  6.9, 7.0  9.9,10.0 14.9,15.0 19.9,20.0+    
355-004  ,3.43     ,    0.158,    0.328,    0.504,    1.112,    0.478,    0.142
005-014  ,         ,    0.173,    0.427,    0.478,    1.055,    0.339,    0.109
015-024  ,         ,    0.220,    0.574,    0.724,    1.195,    0.401,    0.134
025-034  ,         ,    0.215,    0.502,    0.742,    1.402,    0.357,    0.075
035-044  ,         ,    0.241,    0.437,    0.517,    1.166,    0.344,    0.059
045-054  ,         ,    0.235,    0.352,    0.435,    0.910,    0.251,    0.028
055-064  ,         ,    0.264,    0.393,    0.380,    0.786,    0.158,    0.028
065-074  ,         ,    0.308,    0.510,    0.401,    0.504,    0.127,    0.028
075-084  ,         ,    0.277,    0.422,    0.341,    0.445,    0.052,    0.003
085-094  ,         ,    0.287,    0.522,    0.424,    0.401,    0.041,    0.013
095-104  ,         ,    0.323,    0.424,    0.447,    0.440,    0.049,    0.018
105-114  ,         ,    0.354,    0.541,    0.582,    0.522,    0.070,    0.026
115-124  ,         ,    0.393,    0.618,    0.574,    0.781,    0.091,    0.023
125-134  ,         ,    0.411,    0.556,    0.678,    0.905,    0.078,    0.016
135-144  ,         ,    0.391,    0.543,    0.696,    1.055,    0.078,    0.031
145-154  ,         ,    0.349,    0.463,    0.587,    0.714,    0.072,    0.013
155-164  ,         ,    0.365,    0.517,    0.466,    0.652,    0.057,    0.010
165-174  ,         ,    0.393,    0.486,    0.455,    0.388,    0.067,    0.018
175-184  ,         ,    0.437,    0.582,    0.497,    0.478,    0.101,    0.016
185-194  ,         ,    0.398,    0.481,    0.427,    0.522,    0.106,    0.021
195-204  ,         ,    0.393,    0.517,    0.388,    0.572,    0.197,    0.062
205-214  ,         ,    0.396,    0.512,    0.419,    0.649,    0.290,    0.085
215-224  ,         ,    0.354,    0.577,    0.556,    0.980,    0.396,    0.096
225-234  ,         ,    0.297,    0.484,    0.652,    1.231,    0.515,    0.150
235-244  ,         ,    0.176,    0.401,    0.572,    1.234,    0.463,    0.140
245-254  ,         ,    0.235,    0.411,    0.577,    1.254,    0.491,    0.189
255-264  ,         ,    0.176,    0.380,    0.460,    0.970,    0.406,    0.297
265-274  ,         ,    0.225,    0.494,    0.481,    1.014,    0.497,    0.347
275-284  ,         ,    0.150,    0.349,    0.396,    1.016,    0.559,    0.427
285-294  ,         ,    0.142,    0.310,    0.383,    1.154,    0.773,    0.473
295-304  ,         ,    0.163,    0.248,    0.432,    1.358,    1.001,    0.579
305-314  ,         ,    0.134,    0.279,    0.510,    1.523,    1.210,    0.820
315-324  ,         ,    0.137,    0.313,    0.533,    1.635,    1.048,    0.727
325-334  ,         ,    0.096,    0.204,    0.463,    1.428,    0.939,    0.442
335-344  ,         ,    0.065,    0.277,    0.414,    1.368,    0.815,    0.409
345-354  ,         ,    0.088,    0.272,    0.305,    1.058,    0.522,    0.178
