Direction,Calm     , 2.0  4.9, 5.0  6.9, 7.0  9.9,10.0 14.9,15.0 19.9,20.0+    
355-004  ,4.09     ,    0.368,    0.675,    0.642,    0.997,    0.098,    0.033
005-014  ,         ,    0.337,    0.710,    0.760,    1.065,    0.141,    0.025
015-024  ,         ,    0.443,    0.869,    1.020,    1.400,    0.184,    0.043
025-034  ,         ,    0.350,    0.768,    0.818,    1.062,    0.149,    0.028
035-044  ,         ,    0.300,    0.546,    0.657,    0.851,    0.106,    0.010
045-054  ,         ,    0.310,    0.443,    0.451,    0.498,    0.070,    0.013
055-064  ,         ,    0.199,    0.375,    0.302,    0.310,    0.025,    0.020
065-074  ,         ,    0.196,    0.315,    0.227,    0.219,    0.023,    0.005
075-084  ,         ,    0.149,    0.264,    0.174,    0.176,    0.013,    0.008
085-094  ,         ,    0.206,    0.300,    0.214,    0.106,    0.003,    0.005
095-104  ,         ,    0.159,    0.247,    0.156,    0.116,    0.010,    0.000
105-114  ,         ,    0.224,    0.385,    0.287,    0.154,    0.008,    0.003
115-124  ,         ,    0.305,    0.572,    0.403,    0.254,    0.018,    0.003
125-134  ,         ,    0.297,    0.549,    0.561,    0.529,    0.020,    0.003
135-144  ,         ,    0.380,    0.712,    0.758,    0.723,    0.020,    0.000
145-154  ,         ,    0.428,    0.705,    0.823,    0.743,    0.030,    0.005
155-164  ,         ,    0.529,    0.881,    1.002,    0.853,    0.028,    0.003
165-174  ,         ,    0.639,    0.974,    0.914,    0.813,    0.020,    0.005
175-184  ,         ,    0.589,    1.221,    1.085,    0.831,    0.063,    0.000
185-194  ,         ,    0.519,    0.773,    0.833,    0.783,    0.063,    0.005
195-204  ,         ,    0.685,    0.871,    0.755,    0.894,    0.103,    0.005
205-214  ,         ,    0.768,    1.047,    0.765,    0.901,    0.146,    0.018
215-224  ,         ,    0.778,    1.304,    1.035,    1.224,    0.232,    0.020
225-234  ,         ,    0.685,    1.236,    1.297,    1.619,    0.201,    0.028
235-244  ,         ,    0.519,    0.911,    1.317,    1.636,    0.254,    0.020
245-254  ,         ,    0.556,    0.924,    0.987,    1.440,    0.222,    0.050
255-264  ,         ,    0.519,    0.745,    0.753,    1.040,    0.144,    0.038
265-274  ,         ,    0.566,    0.871,    0.750,    1.015,    0.151,    0.033
275-284  ,         ,    0.383,    0.609,    0.577,    0.821,    0.144,    0.030
285-294  ,         ,    0.292,    0.549,    0.534,    0.816,    0.196,    0.018
295-304  ,         ,    0.335,    0.534,    0.516,    0.856,    0.211,    0.063
305-314  ,         ,    0.295,    0.514,    0.579,    0.833,    0.186,    0.065
315-324  ,         ,    0.217,    0.473,    0.561,    0.979,    0.209,    0.038
325-334  ,         ,    0.224,    0.390,    0.569,    0.921,    0.196,    0.033
335-344  ,         ,    0.164,    0.410,    0.496,    0.748,    0.138,    0.023
345-354  ,         ,    0.204,    0.373,    0.501,    0.738,    0.176,    0.010
