Direction,Calm     , 2.0  4.9, 5.0  6.9, 7.0  9.9,10.0 14.9,15.0 19.9,20.0+    
355-004  ,4.46     ,    0.283,    0.480,    0.556,    1.129,    0.280,    0.134
005-014  ,         ,    0.285,    0.584,    0.846,    1.225,    0.298,    0.139
015-024  ,         ,    0.498,    1.076,    1.127,    1.975,    0.364,    0.088
025-034  ,         ,    0.493,    0.899,    0.914,    1.538,    0.379,    0.106
035-044  ,         ,    0.460,    0.581,    0.589,    0.831,    0.225,    0.056
045-054  ,         ,    0.311,    0.392,    0.288,    0.495,    0.104,    0.073
055-064  ,         ,    0.278,    0.248,    0.217,    0.336,    0.058,    0.043
065-074  ,         ,    0.217,    0.232,    0.197,    0.222,    0.073,    0.010
075-084  ,         ,    0.167,    0.162,    0.124,    0.136,    0.025,    0.008
085-094  ,         ,    0.187,    0.182,    0.083,    0.081,    0.030,    0.010
095-104  ,         ,    0.154,    0.134,    0.078,    0.051,    0.020,    0.013
105-114  ,         ,    0.126,    0.101,    0.078,    0.076,    0.043,    0.005
115-124  ,         ,    0.197,    0.164,    0.066,    0.068,    0.035,    0.013
125-134  ,         ,    0.222,    0.152,    0.106,    0.068,    0.020,    0.018
135-144  ,         ,    0.225,    0.187,    0.129,    0.104,    0.028,    0.020
145-154  ,         ,    0.265,    0.169,    0.114,    0.106,    0.025,    0.023
155-164  ,         ,    0.293,    0.301,    0.169,    0.134,    0.020,    0.013
165-174  ,         ,    0.356,    0.381,    0.220,    0.129,    0.018,    0.005
175-184  ,         ,    0.440,    0.488,    0.250,    0.184,    0.053,    0.015
185-194  ,         ,    0.387,    0.480,    0.258,    0.250,    0.056,    0.023
195-204  ,         ,    0.477,    0.568,    0.442,    0.442,    0.101,    0.035
205-214  ,         ,    0.530,    0.861,    0.455,    0.589,    0.152,    0.038
215-224  ,         ,    0.566,    0.952,    0.872,    1.195,    0.230,    0.058
225-234  ,         ,    0.482,    0.879,    1.147,    1.842,    0.270,    0.073
235-244  ,         ,    0.371,    0.834,    1.187,    1.804,    0.275,    0.063
245-254  ,         ,    0.318,    0.786,    1.119,    1.963,    0.417,    0.187
255-264  ,         ,    0.384,    0.768,    0.980,    1.816,    0.589,    0.311
265-274  ,         ,    0.381,    0.902,    0.970,    1.723,    0.753,    0.409
275-284  ,         ,    0.240,    0.644,    0.717,    1.427,    0.725,    0.480
285-294  ,         ,    0.258,    0.482,    0.639,    1.501,    0.980,    0.573
295-304  ,         ,    0.237,    0.402,    0.530,    1.511,    1.013,    0.657
305-314  ,         ,    0.220,    0.447,    0.609,    1.730,    1.074,    0.788
315-324  ,         ,    0.131,    0.351,    0.581,    1.920,    1.031,    0.722
325-334  ,         ,    0.106,    0.288,    0.498,    1.543,    0.768,    0.412
335-344  ,         ,    0.172,    0.283,    0.437,    1.268,    0.429,    0.195
345-354  ,         ,    0.141,    0.280,    0.381,    0.995,    0.293,    0.106
