Direction,Calm     , 2.0  4.9, 5.0  6.9, 7.0  9.9,10.0 14.9,15.0 19.9,20.0+    
355-004  ,4.75     ,    0.186,    0.391,    0.617,    1.295,    0.391,    0.178
005-014  ,         ,    0.219,    0.481,    0.697,    1.533,    0.478,    0.145
015-024  ,         ,    0.292,    0.789,    0.962,    1.940,    0.478,    0.115
025-034  ,         ,    0.339,    0.667,    0.759,    1.519,    0.369,    0.098
035-044  ,         ,    0.279,    0.494,    0.563,    1.109,    0.279,    0.112
045-054  ,         ,    0.254,    0.377,    0.347,    0.598,    0.164,    0.071
055-064  ,         ,    0.221,    0.322,    0.287,    0.426,    0.137,    0.022
065-074  ,         ,    0.295,    0.309,    0.210,    0.227,    0.074,    0.046
075-084  ,         ,    0.145,    0.188,    0.139,    0.131,    0.008,    0.008
085-094  ,         ,    0.161,    0.164,    0.153,    0.139,    0.025,    0.008
095-104  ,         ,    0.197,    0.161,    0.120,    0.109,    0.014,    0.000
105-114  ,         ,    0.186,    0.216,    0.131,    0.117,    0.011,    0.003
115-124  ,         ,    0.227,    0.254,    0.142,    0.131,    0.025,    0.005
125-134  ,         ,    0.205,    0.238,    0.178,    0.164,    0.014,    0.008
135-144  ,         ,    0.268,    0.254,    0.249,    0.150,    0.030,    0.005
145-154  ,         ,    0.232,    0.281,    0.254,    0.156,    0.019,    0.005
155-164  ,         ,    0.341,    0.352,    0.238,    0.164,    0.016,    0.005
165-174  ,         ,    0.413,    0.426,    0.249,    0.183,    0.011,    0.014
175-184  ,         ,    0.448,    0.587,    0.363,    0.284,    0.044,    0.036
185-194  ,         ,    0.407,    0.481,    0.344,    0.322,    0.046,    0.016
195-204  ,         ,    0.522,    0.680,    0.432,    0.445,    0.120,    0.030
205-214  ,         ,    0.546,    0.650,    0.514,    0.494,    0.137,    0.055
215-224  ,         ,    0.429,    0.708,    0.735,    0.945,    0.183,    0.030
225-234  ,         ,    0.358,    0.694,    0.953,    1.557,    0.341,    0.090
235-244  ,         ,    0.219,    0.560,    0.858,    1.524,    0.404,    0.156
245-254  ,         ,    0.290,    0.505,    0.757,    1.560,    0.653,    0.320
255-264  ,         ,    0.306,    0.555,    0.732,    1.489,    0.557,    0.382
265-274  ,         ,    0.287,    0.680,    0.680,    1.412,    0.721,    0.443
275-284  ,         ,    0.167,    0.453,    0.555,    1.366,    0.721,    0.451
285-294  ,         ,    0.131,    0.382,    0.563,    1.418,    0.910,    0.631
295-304  ,         ,    0.172,    0.385,    0.511,    1.601,    1.303,    1.022
305-314  ,         ,    0.167,    0.352,    0.647,    2.032,    1.478,    1.106
315-324  ,         ,    0.104,    0.290,    0.579,    2.073,    1.347,    0.923
325-334  ,         ,    0.112,    0.300,    0.494,    1.467,    0.877,    0.637
335-344  ,         ,    0.085,    0.227,    0.415,    1.481,    0.680,    0.358
345-354  ,         ,    0.117,    0.227,    0.399,    1.136,    0.568,    0.153
