Direction,Calm     , 2.0  4.9, 5.0  6.9, 7.0  9.9,10.0 14.9,15.0 19.9,20.0+   
355-004  ,4.07     ,    0.251,    0.387,    0.476,    1.030,    0.377,    0.136
005-014  ,         ,    0.251,    0.529,    0.618,    1.166,    0.372,    0.087
015-024  ,         ,    0.395,    0.831,    1.057,    1.687,    0.382,    0.107
025-034  ,         ,    0.409,    0.739,    0.878,    1.335,    0.355,    0.097
035-044  ,         ,    0.395,    0.576,    0.546,    0.831,    0.176,    0.104
045-054  ,         ,    0.275,    0.352,    0.283,    0.471,    0.156,    0.060
055-064  ,         ,    0.248,    0.258,    0.211,    0.238,    0.109,    0.022
065-074  ,         ,    0.241,    0.231,    0.171,    0.114,    0.025,    0.017
075-084  ,         ,    0.179,    0.189,    0.084,    0.087,    0.002,    0.007
085-094  ,         ,    0.176,    0.176,    0.114,    0.094,    0.020,    0.000
095-104  ,         ,    0.146,    0.149,    0.067,    0.109,    0.017,    0.020
105-114  ,         ,    0.161,    0.146,    0.067,    0.069,    0.017,    0.002
115-124  ,         ,    0.166,    0.156,    0.074,    0.055,    0.015,    0.012
125-134  ,         ,    0.164,    0.179,    0.074,    0.072,    0.017,    0.005
135-144  ,         ,    0.270,    0.199,    0.117,    0.047,    0.020,    0.007
145-154  ,         ,    0.228,    0.194,    0.104,    0.062,    0.020,    0.005
155-164  ,         ,    0.323,    0.228,    0.171,    0.112,    0.027,    0.005
165-174  ,         ,    0.380,    0.305,    0.179,    0.159,    0.037,    0.015
175-184  ,         ,    0.496,    0.516,    0.280,    0.231,    0.055,    0.032
185-194  ,         ,    0.404,    0.471,    0.318,    0.243,    0.052,    0.025
195-204  ,         ,    0.556,    0.682,    0.362,    0.454,    0.077,    0.047
205-214  ,         ,    0.541,    0.752,    0.511,    0.583,    0.141,    0.052
215-224  ,         ,    0.613,    0.888,    0.831,    1.012,    0.226,    0.087
225-234  ,         ,    0.454,    0.844,    1.226,    1.754,    0.280,    0.079
235-244  ,         ,    0.325,    0.799,    1.045,    1.938,    0.370,    0.129
245-254  ,         ,    0.318,    0.650,    1.092,    2.293,    0.725,    0.275
255-264  ,         ,    0.333,    0.747,    0.819,    1.913,    0.677,    0.417
265-274  ,         ,    0.367,    0.720,    0.913,    1.777,    0.759,    0.422
275-284  ,         ,    0.238,    0.593,    0.734,    1.600,    0.787,    0.481
285-294  ,         ,    0.238,    0.409,    0.640,    1.581,    0.958,    0.633
295-304  ,         ,    0.203,    0.407,    0.573,    1.777,    1.251,    0.762
305-314  ,         ,    0.203,    0.429,    0.658,    2.077,    1.422,    0.844
315-324  ,         ,    0.129,    0.310,    0.596,    2.119,    1.270,    0.717
325-334  ,         ,    0.107,    0.273,    0.442,    1.705,    0.846,    0.476
335-344  ,         ,    0.136,    0.246,    0.362,    1.241,    0.633,    0.288
345-354  ,         ,    0.097,    0.253,    0.350,    0.931,    0.372,    0.161
