Direction,Calm     , 2.0  4.9, 5.0  6.9, 7.0  9.9,10.0 14.9,15.0 19.9,20.0+   
355-004  ,3.75     ,    0.276,    0.541,    0.543,    0.872,    0.136,    0.018
005-014  ,         ,    0.215,    0.518,    0.564,    0.816,    0.121,    0.023
015-024  ,         ,    0.306,    0.738,    0.867,    1.069,    0.124,    0.023
025-034  ,         ,    0.324,    0.536,    0.667,    0.748,    0.099,    0.013
035-044  ,         ,    0.263,    0.422,    0.470,    0.483,    0.051,    0.000
045-054  ,         ,    0.233,    0.420,    0.318,    0.339,    0.020,    0.003
055-064  ,         ,    0.215,    0.265,    0.240,    0.142,    0.020,    0.000
065-074  ,         ,    0.195,    0.276,    0.190,    0.134,    0.013,    0.000
075-084  ,         ,    0.162,    0.230,    0.164,    0.078,    0.010,    0.003
085-094  ,         ,    0.263,    0.296,    0.174,    0.083,    0.010,    0.000
095-104  ,         ,    0.255,    0.359,    0.187,    0.104,    0.005,    0.003
105-114  ,         ,    0.255,    0.404,    0.291,    0.200,    0.003,    0.000
115-124  ,         ,    0.367,    0.528,    0.468,    0.316,    0.008,    0.000
125-134  ,         ,    0.404,    0.617,    0.675,    0.541,    0.018,    0.000
135-144  ,         ,    0.415,    0.743,    0.816,    0.847,    0.053,    0.003
145-154  ,         ,    0.460,    0.801,    0.763,    0.819,    0.030,    0.005
155-164  ,         ,    0.475,    0.945,    0.968,    0.867,    0.025,    0.000
165-174  ,         ,    0.652,    0.961,    0.801,    0.816,    0.048,    0.000
175-184  ,         ,    0.718,    1.130,    1.046,    0.887,    0.058,    0.003
185-194  ,         ,    0.493,    0.834,    0.794,    0.839,    0.058,    0.005
195-204  ,         ,    0.665,    0.902,    0.718,    1.062,    0.134,    0.015
205-214  ,         ,    0.627,    1.006,    0.854,    0.950,    0.187,    0.033
215-224  ,         ,    0.591,    1.168,    1.046,    1.509,    0.263,    0.028
225-234  ,         ,    0.556,    1.044,    1.294,    2.012,    0.344,    0.053
235-244  ,         ,    0.470,    0.928,    1.335,    2.085,    0.394,    0.091
245-254  ,         ,    0.493,    0.829,    1.309,    1.886,    0.334,    0.058
255-264  ,         ,    0.420,    0.693,    0.867,    1.423,    0.276,    0.045
265-274  ,         ,    0.430,    0.892,    0.849,    1.302,    0.250,    0.028
275-284  ,         ,    0.331,    0.506,    0.642,    1.021,    0.187,    0.020
285-294  ,         ,    0.263,    0.546,    0.655,    1.095,    0.240,    0.028
295-304  ,         ,    0.273,    0.452,    0.551,    1.054,    0.255,    0.025
305-314  ,         ,    0.210,    0.508,    0.624,    1.069,    0.288,    0.094
315-324  ,         ,    0.202,    0.407,    0.607,    1.191,    0.273,    0.081
325-334  ,         ,    0.142,    0.339,    0.478,    0.961,    0.240,    0.071
335-344  ,         ,    0.124,    0.286,    0.465,    1.001,    0.227,    0.030
345-354  ,         ,    0.139,    0.301,    0.427,    0.852,    0.177,    0.023
