Direction,Calm     , 2.0  4.9, 5.0  6.9, 7.0  9.9,10.0 14.9,15.0 19.9,20.0+    
355-004  ,3.4      ,    0.205,    0.379,    0.454,    0.787,    0.145,    0.034
005-014  ,         ,    0.223,    0.483,    0.543,    0.797,    0.158,    0.055
015-024  ,         ,    0.158,    0.519,    0.740,    1.140,    0.205,    0.034
025-034  ,         ,    0.221,    0.478,    0.660,    1.026,    0.112,    0.036
035-044  ,         ,    0.184,    0.405,    0.504,    0.867,    0.112,    0.005
045-054  ,         ,    0.265,    0.415,    0.415,    0.527,    0.065,    0.010
055-064  ,         ,    0.244,    0.345,    0.242,    0.322,    0.042,    0.005
065-074  ,         ,    0.273,    0.374,    0.244,    0.273,    0.047,    0.003
075-084  ,         ,    0.231,    0.314,    0.236,    0.164,    0.016,    0.000
085-094  ,         ,    0.330,    0.512,    0.335,    0.216,    0.023,    0.000
095-104  ,         ,    0.236,    0.408,    0.301,    0.169,    0.026,    0.003
105-114  ,         ,    0.361,    0.548,    0.431,    0.301,    0.023,    0.000
115-124  ,         ,    0.379,    0.787,    0.644,    0.527,    0.031,    0.000
125-134  ,         ,    0.413,    0.722,    0.740,    0.766,    0.031,    0.003
135-144  ,         ,    0.392,    0.748,    0.924,    0.927,    0.036,    0.000
145-154  ,         ,    0.460,    0.725,    0.795,    0.797,    0.023,    0.005
155-164  ,         ,    0.449,    0.740,    0.953,    0.849,    0.042,    0.000
165-174  ,         ,    0.551,    0.821,    0.725,    0.787,    0.023,    0.003
175-184  ,         ,    0.584,    1.002,    0.966,    0.886,    0.078,    0.005
185-194  ,         ,    0.421,    0.678,    0.621,    0.935,    0.083,    0.005
195-204  ,         ,    0.522,    0.737,    0.652,    0.919,    0.197,    0.026
205-214  ,         ,    0.543,    0.919,    0.696,    1.023,    0.184,    0.023
215-224  ,         ,    0.509,    1.034,    1.158,    1.465,    0.314,    0.049
225-234  ,         ,    0.493,    0.927,    1.218,    2.148,    0.434,    0.062
235-244  ,         ,    0.377,    0.766,    0.963,    2.054,    0.415,    0.070
245-254  ,         ,    0.371,    0.626,    0.927,    1.703,    0.408,    0.075
255-264  ,         ,    0.312,    0.662,    0.712,    1.335,    0.340,    0.065
265-274  ,         ,    0.327,    0.683,    0.665,    1.187,    0.317,    0.062
275-284  ,         ,    0.260,    0.480,    0.584,    0.963,    0.278,    0.049
285-294  ,         ,    0.234,    0.439,    0.540,    1.054,    0.340,    0.122
295-304  ,         ,    0.247,    0.441,    0.493,    1.049,    0.366,    0.140
305-314  ,         ,    0.200,    0.400,    0.553,    1.322,    0.509,    0.187
315-324  ,         ,    0.169,    0.338,    0.553,    1.283,    0.618,    0.156
325-334  ,         ,    0.151,    0.200,    0.390,    1.101,    0.447,    0.151
335-344  ,         ,    0.109,    0.262,    0.454,    0.919,    0.317,    0.070
345-354  ,         ,    0.096,    0.293,    0.434,    0.826,    0.231,    0.062
