Direction,Calm     , 2.0  4.9, 5.0  6.9, 7.0  9.9,10.0 14.9,15.0 19.9,20.0+    
355-004  ,3.5      ,    0.219,    0.371,    0.575,    1.319,    0.488,    0.289
005-014  ,         ,    0.164,    0.381,    0.550,    1.324,    0.421,    0.204
015-024  ,         ,    0.266,    0.560,    0.831,    1.904,    0.468,    0.219
025-034  ,         ,    0.256,    0.555,    0.647,    1.561,    0.346,    0.100
035-044  ,         ,    0.222,    0.460,    0.577,    1.232,    0.331,    0.092
045-054  ,         ,    0.254,    0.331,    0.396,    0.682,    0.254,    0.142
055-064  ,         ,    0.301,    0.341,    0.276,    0.498,    0.137,    0.092
065-074  ,         ,    0.326,    0.381,    0.336,    0.368,    0.085,    0.017
075-084  ,         ,    0.266,    0.306,    0.224,    0.269,    0.055,    0.012
085-094  ,         ,    0.316,    0.416,    0.301,    0.336,    0.050,    0.002
095-104  ,         ,    0.259,    0.336,    0.239,    0.269,    0.025,    0.020
105-114  ,         ,    0.284,    0.495,    0.309,    0.314,    0.030,    0.020
115-124  ,         ,    0.274,    0.393,    0.378,    0.386,    0.042,    0.017
125-134  ,         ,    0.299,    0.443,    0.470,    0.428,    0.040,    0.022
135-144  ,         ,    0.311,    0.485,    0.503,    0.575,    0.042,    0.015
145-154  ,         ,    0.279,    0.396,    0.455,    0.538,    0.047,    0.015
155-164  ,         ,    0.329,    0.448,    0.408,    0.483,    0.055,    0.017
165-174  ,         ,    0.406,    0.510,    0.391,    0.348,    0.045,    0.005
175-184  ,         ,    0.403,    0.635,    0.473,    0.363,    0.087,    0.010
185-194  ,         ,    0.319,    0.488,    0.403,    0.465,    0.077,    0.025
195-204  ,         ,    0.386,    0.555,    0.348,    0.483,    0.142,    0.067
205-214  ,         ,    0.383,    0.498,    0.500,    0.543,    0.169,    0.090
215-224  ,         ,    0.321,    0.508,    0.488,    0.874,    0.289,    0.114
225-234  ,         ,    0.192,    0.490,    0.600,    1.006,    0.341,    0.147
235-244  ,         ,    0.172,    0.396,    0.535,    1.120,    0.316,    0.172
245-254  ,         ,    0.199,    0.378,    0.572,    1.128,    0.443,    0.246
255-264  ,         ,    0.149,    0.436,    0.470,    0.928,    0.468,    0.289
265-274  ,         ,    0.197,    0.438,    0.563,    1.113,    0.694,    0.443
275-284  ,         ,    0.124,    0.353,    0.448,    1.043,    0.712,    0.528
285-294  ,         ,    0.152,    0.276,    0.463,    1.264,    0.946,    0.724
295-304  ,         ,    0.144,    0.334,    0.530,    1.471,    1.232,    0.961
305-314  ,         ,    0.102,    0.299,    0.582,    2.121,    1.429,    1.242
315-324  ,         ,    0.110,    0.234,    0.515,    2.121,    1.496,    1.033
325-334  ,         ,    0.085,    0.244,    0.426,    1.742,    1.145,    0.652
335-344  ,         ,    0.082,    0.197,    0.426,    1.683,    0.889,    0.401
345-354  ,         ,    0.080,    0.239,    0.416,    1.172,    0.592,    0.291
