Direction,Calm     , 2.0  4.9, 5.0  6.9, 7.0  9.9,10.0 14.9,15.0 19.9,20.0+    
355-004  ,3.97     ,    0.259,    0.372,    0.467,    0.916,    0.246,    0.075
005-014  ,         ,    0.201,    0.414,    0.500,    0.879,    0.256,    0.075
015-024  ,         ,    0.269,    0.633,    0.796,    1.406,    0.309,    0.088
025-034  ,         ,    0.299,    0.588,    0.660,    1.291,    0.309,    0.060
035-044  ,         ,    0.264,    0.447,    0.733,    1.288,    0.321,    0.078
045-054  ,         ,    0.261,    0.444,    0.500,    1.075,    0.236,    0.028
055-064  ,         ,    0.301,    0.447,    0.404,    0.613,    0.141,    0.023
065-074  ,         ,    0.407,    0.429,    0.427,    0.372,    0.060,    0.010
075-084  ,         ,    0.321,    0.427,    0.364,    0.259,    0.030,    0.018
085-094  ,         ,    0.497,    0.618,    0.374,    0.284,    0.018,    0.005
095-104  ,         ,    0.444,    0.552,    0.379,    0.279,    0.013,    0.005
105-114  ,         ,    0.404,    0.728,    0.665,    0.492,    0.050,    0.003
115-124  ,         ,    0.555,    0.899,    0.834,    0.630,    0.058,    0.008
125-134  ,         ,    0.462,    0.826,    0.896,    0.856,    0.045,    0.003
135-144  ,         ,    0.505,    0.876,    1.052,    1.190,    0.063,    0.005
145-154  ,         ,    0.434,    0.746,    0.844,    0.984,    0.055,    0.000
155-164  ,         ,    0.542,    0.751,    0.788,    0.741,    0.030,    0.005
165-174  ,         ,    0.545,    0.816,    0.665,    0.703,    0.048,    0.008
175-184  ,         ,    0.565,    0.851,    0.660,    0.701,    0.040,    0.005
185-194  ,         ,    0.379,    0.497,    0.577,    0.655,    0.070,    0.008
195-204  ,         ,    0.472,    0.675,    0.465,    0.723,    0.123,    0.018
205-214  ,         ,    0.512,    0.826,    0.482,    0.758,    0.211,    0.033
215-224  ,         ,    0.495,    0.844,    0.793,    1.062,    0.309,    0.068
225-234  ,         ,    0.427,    0.811,    0.869,    1.798,    0.525,    0.105
235-244  ,         ,    0.314,    0.550,    0.768,    1.562,    0.482,    0.153
245-254  ,         ,    0.301,    0.520,    0.643,    1.313,    0.384,    0.148
255-264  ,         ,    0.299,    0.404,    0.507,    0.826,    0.321,    0.148
265-274  ,         ,    0.259,    0.409,    0.545,    0.768,    0.331,    0.148
275-284  ,         ,    0.234,    0.362,    0.374,    0.731,    0.294,    0.123
285-294  ,         ,    0.181,    0.357,    0.424,    0.771,    0.397,    0.168
295-304  ,         ,    0.171,    0.294,    0.409,    0.972,    0.477,    0.203
305-314  ,         ,    0.158,    0.339,    0.427,    1.062,    0.537,    0.239
315-324  ,         ,    0.100,    0.304,    0.434,    1.198,    0.580,    0.344
325-334  ,         ,    0.156,    0.231,    0.362,    1.022,    0.462,    0.188
335-344  ,         ,    0.103,    0.213,    0.424,    0.934,    0.344,    0.151
345-354  ,         ,    0.131,    0.261,    0.291,    0.869,    0.276,    0.058
