Direction,Calm     , 2.0  4.9, 5.0  6.9, 7.0  9.9,10.0 14.9,15.0 19.9,20.0+    
355-004  ,4.85     ,    0.257,    0.451,    0.487,    1.061,    0.304,    0.055
005-014  ,         ,    0.335,    0.812,    0.831,    1.342,    0.236,    0.068
015-024  ,         ,    0.514,    1.067,    1.127,    1.895,    0.430,    0.084
025-034  ,         ,    0.427,    0.781,    0.750,    1.308,    0.409,    0.102
035-044  ,         ,    0.307,    0.592,    0.480,    0.776,    0.233,    0.045
045-054  ,         ,    0.309,    0.309,    0.254,    0.380,    0.170,    0.045
055-064  ,         ,    0.278,    0.262,    0.202,    0.183,    0.086,    0.039
065-074  ,         ,    0.233,    0.244,    0.123,    0.186,    0.060,    0.005
075-084  ,         ,    0.236,    0.189,    0.134,    0.176,    0.037,    0.003
085-094  ,         ,    0.204,    0.212,    0.147,    0.191,    0.034,    0.003
095-104  ,         ,    0.199,    0.186,    0.089,    0.152,    0.031,    0.005
105-114  ,         ,    0.186,    0.197,    0.134,    0.123,    0.079,    0.008
115-124  ,         ,    0.225,    0.296,    0.210,    0.162,    0.068,    0.018
125-134  ,         ,    0.252,    0.296,    0.183,    0.183,    0.047,    0.013
135-144  ,         ,    0.294,    0.304,    0.278,    0.207,    0.039,    0.013
145-154  ,         ,    0.314,    0.333,    0.207,    0.218,    0.021,    0.016
155-164  ,         ,    0.299,    0.325,    0.257,    0.207,    0.055,    0.010
165-174  ,         ,    0.443,    0.480,    0.257,    0.278,    0.047,    0.026
175-184  ,         ,    0.506,    0.702,    0.393,    0.359,    0.097,    0.026
185-194  ,         ,    0.438,    0.634,    0.417,    0.425,    0.089,    0.021
195-204  ,         ,    0.574,    0.776,    0.503,    0.671,    0.157,    0.029
205-214  ,         ,    0.676,    0.920,    0.634,    0.676,    0.160,    0.029
215-224  ,         ,    0.700,    1.206,    1.051,    1.211,    0.218,    0.029
225-234  ,         ,    0.571,    1.116,    1.242,    1.795,    0.354,    0.079
235-244  ,         ,    0.456,    0.797,    1.124,    1.874,    0.356,    0.084
245-254  ,         ,    0.359,    0.666,    0.943,    1.735,    0.443,    0.126
255-264  ,         ,    0.325,    0.621,    0.839,    1.549,    0.522,    0.183
265-274  ,         ,    0.383,    0.684,    0.755,    1.316,    0.537,    0.291
275-284  ,         ,    0.228,    0.527,    0.582,    1.156,    0.561,    0.273
285-294  ,         ,    0.218,    0.419,    0.621,    1.305,    0.684,    0.448
295-304  ,         ,    0.139,    0.356,    0.550,    1.457,    0.844,    0.548
305-314  ,         ,    0.189,    0.406,    0.587,    1.662,    0.923,    0.582
315-324  ,         ,    0.155,    0.346,    0.537,    1.651,    0.923,    0.537
325-334  ,         ,    0.102,    0.309,    0.425,    1.397,    0.666,    0.343
335-344  ,         ,    0.115,    0.249,    0.438,    1.305,    0.495,    0.241
345-354  ,         ,    0.144,    0.280,    0.440,    1.077,    0.375,    0.118
