Direction,Calm     , 2.0  4.9, 5.0  6.9, 7.0  9.9,10.0 14.9,15.0 19.9,20.0+    
355-004  ,4.89     ,    0.365,    0.553,    0.528,    0.996,    0.340,    0.110
005-014  ,         ,    0.430,    0.803,    0.959,    1.502,    0.353,    0.130
015-024  ,         ,    0.511,    1.194,    1.196,    2.308,    0.458,    0.138
025-034  ,         ,    0.440,    0.811,    0.848,    1.912,    0.501,    0.108
035-044  ,         ,    0.388,    0.636,    0.566,    1.229,    0.398,    0.075
045-054  ,         ,    0.295,    0.368,    0.313,    0.581,    0.195,    0.028
055-064  ,         ,    0.205,    0.275,    0.275,    0.395,    0.055,    0.015
065-074  ,         ,    0.270,    0.288,    0.213,    0.308,    0.048,    0.005
075-084  ,         ,    0.215,    0.185,    0.188,    0.203,    0.033,    0.005
085-094  ,         ,    0.233,    0.270,    0.205,    0.140,    0.043,    0.013
095-104  ,         ,    0.123,    0.230,    0.163,    0.170,    0.035,    0.008
105-114  ,         ,    0.243,    0.240,    0.228,    0.158,    0.025,    0.010
115-124  ,         ,    0.260,    0.400,    0.268,    0.185,    0.033,    0.013
125-134  ,         ,    0.280,    0.423,    0.358,    0.253,    0.018,    0.003
135-144  ,         ,    0.408,    0.491,    0.435,    0.423,    0.028,    0.005
145-154  ,         ,    0.303,    0.428,    0.430,    0.310,    0.035,    0.013
155-164  ,         ,    0.461,    0.571,    0.433,    0.300,    0.045,    0.015
165-174  ,         ,    0.425,    0.538,    0.453,    0.310,    0.025,    0.023
175-184  ,         ,    0.588,    0.766,    0.548,    0.493,    0.053,    0.010
185-194  ,         ,    0.420,    0.611,    0.518,    0.488,    0.065,    0.008
195-204  ,         ,    0.813,    0.776,    0.526,    0.626,    0.128,    0.028
205-214  ,         ,    0.808,    0.981,    0.536,    0.693,    0.178,    0.013
215-224  ,         ,    0.811,    1.134,    0.843,    1.074,    0.275,    0.040
225-234  ,         ,    0.726,    1.069,    1.126,    1.619,    0.263,    0.070
235-244  ,         ,    0.593,    0.836,    1.101,    1.462,    0.320,    0.083
245-254  ,         ,    0.516,    0.773,    1.021,    1.509,    0.325,    0.105
255-264  ,         ,    0.471,    0.776,    0.821,    1.266,    0.313,    0.133
265-274  ,         ,    0.433,    0.763,    0.778,    1.134,    0.290,    0.183
275-284  ,         ,    0.333,    0.501,    0.596,    0.898,    0.335,    0.138
285-294  ,         ,    0.225,    0.498,    0.563,    0.871,    0.385,    0.143
295-304  ,         ,    0.258,    0.413,    0.438,    0.986,    0.385,    0.188
305-314  ,         ,    0.180,    0.398,    0.523,    1.276,    0.558,    0.218
315-324  ,         ,    0.148,    0.343,    0.493,    1.246,    0.598,    0.200
325-334  ,         ,    0.145,    0.283,    0.385,    1.176,    0.523,    0.145
335-344  ,         ,    0.133,    0.293,    0.430,    1.074,    0.443,    0.133
345-354  ,         ,    0.165,    0.303,    0.415,    0.921,    0.278,    0.120
