Direction,Calm     , 2.0  4.9, 5.0  6.9, 7.0  9.9,10.0 14.9,15.0 19.9,20.0+    
355-004  ,4.3      ,    0.384,    0.667,    0.735,    1.098,    0.267,    0.068
005-014  ,         ,    0.306,    0.750,    1.088,    1.607,    0.288,    0.034
015-024  ,         ,    0.371,    1.078,    1.477,    2.501,    0.351,    0.052
025-034  ,         ,    0.358,    0.805,    1.119,    1.898,    0.327,    0.068
035-044  ,         ,    0.351,    0.688,    0.696,    1.249,    0.200,    0.055
045-054  ,         ,    0.260,    0.431,    0.475,    0.787,    0.109,    0.016
055-064  ,         ,    0.236,    0.449,    0.431,    0.426,    0.091,    0.016
065-074  ,         ,    0.205,    0.377,    0.309,    0.351,    0.049,    0.023
075-084  ,         ,    0.174,    0.317,    0.304,    0.236,    0.029,    0.029
085-094  ,         ,    0.223,    0.364,    0.317,    0.197,    0.016,    0.005
095-104  ,         ,    0.171,    0.314,    0.301,    0.226,    0.016,    0.013
105-114  ,         ,    0.252,    0.351,    0.408,    0.286,    0.021,    0.010
115-124  ,         ,    0.280,    0.418,    0.415,    0.364,    0.008,    0.003
125-134  ,         ,    0.317,    0.467,    0.441,    0.397,    0.016,    0.010
135-144  ,         ,    0.312,    0.727,    0.660,    0.540,    0.036,    0.010
145-154  ,         ,    0.351,    0.608,    0.706,    0.582,    0.034,    0.005
155-164  ,         ,    0.436,    0.818,    0.735,    0.615,    0.075,    0.008
165-174  ,         ,    0.483,    0.875,    0.714,    0.569,    0.047,    0.008
175-184  ,         ,    0.652,    0.914,    0.888,    0.641,    0.075,    0.013
185-194  ,         ,    0.512,    0.789,    0.701,    0.613,    0.065,    0.023
195-204  ,         ,    0.561,    0.831,    0.673,    0.724,    0.101,    0.023
205-214  ,         ,    0.706,    0.976,    0.641,    0.766,    0.151,    0.013
215-224  ,         ,    0.641,    1.166,    0.883,    1.028,    0.179,    0.026
225-234  ,         ,    0.563,    1.023,    1.052,    1.379,    0.241,    0.023
235-244  ,         ,    0.441,    0.743,    0.958,    1.374,    0.187,    0.034
245-254  ,         ,    0.457,    0.800,    0.774,    0.867,    0.161,    0.036
255-264  ,         ,    0.460,    0.621,    0.618,    0.828,    0.143,    0.036
265-274  ,         ,    0.473,    0.732,    0.641,    0.722,    0.187,    0.029
275-284  ,         ,    0.304,    0.418,    0.493,    0.657,    0.192,    0.044
285-294  ,         ,    0.327,    0.426,    0.527,    0.782,    0.208,    0.034
295-304  ,         ,    0.301,    0.415,    0.465,    0.821,    0.234,    0.049
305-314  ,         ,    0.265,    0.421,    0.561,    0.992,    0.301,    0.112
315-324  ,         ,    0.210,    0.408,    0.525,    1.080,    0.364,    0.093
325-334  ,         ,    0.145,    0.327,    0.460,    1.093,    0.340,    0.091
335-344  ,         ,    0.190,    0.379,    0.486,    1.130,    0.338,    0.106
345-354  ,         ,    0.192,    0.353,    0.462,    0.976,    0.299,    0.083
